PC1,PC2,cluster
-0.7733176927808276,0.34432659765128126,0
-0.8274143616532713,-0.25919265572741845,0
-0.11417072354347041,-0.20430611869096463,0
-0.851008137587989,-0.14026254858046122,0
-1.2383911198709139,0.22851018869632972,0
-0.9910922715145465,0.7327718352666206,0
-0.35055495591834446,-0.09737510493760396,2
-1.0578367071488386,0.4992972491819637,0
-0.27151423027609606,0.35898673995737795,0
-1.2182696146521954,-0.2830277053881658,2
-1.2405833563853412,-0.17256129179577004,0
-0.7852555520436527,0.018763391358128954,0
-0.7190651787829628,0.25978524982470774,2
-0.942555509457379,0.289927698899975,0
-1.3710768809569314,-0.516876773388775,2
-0.8019559801258273,-0.69243444042339,2
-0.8630623708334573,-0.24940456915752326,2
-0.3241430185719542,0.15904975418395165,0
-0.18785085916076905,0.22167735861704382,0
-0.7668265694292702,0.63062714070937,0
-0.07432695686840934,0.01164281694998441,0
-0.5714024929070807,0.4955237269031306,0
-0.14187052793665716,0.03885337810550791,2
-0.9884480057936789,0.3546683982404977,0
-1.0743664314490093,-0.039649555135606564,2
-0.33018399637782353,-0.10926864514291643,2
-0.35572314073276107,-0.5274401732120425,2
-0.2647025680746606,0.7093327476811805,0
-0.12343262070964978,-0.21322205555398288,2
-0.1874375352060285,-0.5972736713032314,2
-0.9448636744955622,-0.33686498457435576,2
-0.44881092101291237,0.49167554906678534,0
-0.6353650797036459,0.1116063859139711,2
-0.34707863575406306,0.141849951930277,0
-1.29674392116376,-0.6808292151728228,2
-0.5226837167898357,-0.04561322567540647,0
-1.0910094448871188,-0.018021262156689012,0
-0.610644048530772,-0.5478967113644689,0
-0.9122341644317529,0.6646935757961013,0
-0.3056215857117793,0.14791899635663786,0
-0.891868578069026,0.20248898572081916,2
-1.143454226223742,0.3656391506626428,0
-0.3027323405620673,0.02825144452260734,0
-1.4358475733772422,-0.08698655547463316,2
-0.8811790844703506,-0.3200115755600913,0
-0.07125656263453606,-0.21898289967305926,0
-0.5980259026112351,-0.6300612822524959,2
-0.40931161417934636,-0.15467589666466033,2
-0.02809200718836677,-0.052791361890199374,3
-0.363120557627044,-0.4916452201506198,2
-0.693118515348825,-0.15624498081715466,0
-0.15159877531807459,-0.0065123470707362865,3
0.3578073484953421,0.15627985009466783,0
-0.7724955640890397,-0.18673197176499826,2
-0.278869369033134,-1.142881834818314,2
-0.50018769219809,-0.5713306908272456,2
0.19441067372615473,0.12327989147248766,3
-0.28720444048743243,-0.7572124336211985,2
0.1463345425064736,-0.2682656930826261,2
-0.9123369947451198,-0.37822004322472325,2
-0.9992169586992503,-0.5271095819236599,2
-0.5656687516287274,-0.26229262345858945,2
-0.8605364410891554,-0.008183679124430805,0
-0.5944949639123802,-0.6337788286153068,2
-0.19452000808670913,-0.2998459978733966,2
-1.128059344627591,-0.542889361224528,2
0.0894826356827578,0.4386470506556747,0
-0.7430638714005484,-0.4129321024230438,2
-0.495998792231529,0.7093950645447172,0
-0.5802743771221012,-0.7867416167463697,2
0.15077347556913623,-0.2196434106066443,0
-0.6005354179690552,-0.29992140350421864,2
-0.6732656745829415,0.06585427674601263,0
-0.027722178782235013,-0.8009738526970079,2
-0.31782465424307016,-0.12713941875719337,0
-0.9942049437038786,-0.9951116222017101,2
-0.4461065042710281,-0.2997499501766824,2
0.14612886617263454,-0.7088683561020698,2
-0.43962342495783796,-0.14739453839190386,2
-0.792622798912108,-1.133171335097166,2
-1.0236206101492469,0.16117357189640352,2
-0.27243523451541796,-1.0169416615336417,2
-1.5292703280264832,-0.6488117731674345,2
-0.354094062966955,0.4437615208302495,0
-0.4139912121992999,0.07346241768563302,0
-0.37920290644042254,-0.36212492683845754,2
0.20703796591748813,-0.22495764045300762,2
-0.7221885832286602,-0.6433464206620243,2
-0.7596721646269309,0.05052089081297519,0
