PC1,PC2,cluster
-0.9835121132992358,-0.57669006548695,0
-0.8417470989397936,0.7516731754117947,0
-0.46999563762811347,-0.5265720208685641,0
-1.184493800800258,-0.30202079706411944,0
-1.6634561572936013,-0.7092454757497902,0
-1.164729706619526,-1.3292644280735517,0
-0.5099787594599164,0.4652161205089287,0
-1.116666866871484,-0.7478390598737154,0
0.022631842633792663,-0.34855864229265243,0
-1.6835993847878532,0.9289619169919647,0
-1.4570810139709391,0.6920438327221617,0
-1.2057376073567068,-0.6331116533313274,0
-0.8620647540173726,0.002991895879262687,0
-1.1656063627749638,-1.1335246215266404,0
-2.5587128897953533,-0.5493098619732452,0
-1.465952099427432,1.1871860141992705,0
-1.6695329471698832,-0.005414941847101283,0
-0.5057315104950892,-0.9249052520307488,0
-0.16353780762911443,-0.3578937909755155,0
-0.325813602840029,0.3508210261388949,0
0.30323369744685574,0.22500239125067503,0
-0.005816310640888034,0.8207455924944913,0
-0.38931963472868425,-0.49632227573097487,0
-0.958133714861701,0.15350581363212884,0
-1.6883342236501087,-0.11395066344229471,0
-0.18791283299827144,1.0161736176930993,0
-0.5737739825185066,1.4069937481753956,0
-0.21192520672394827,-1.5926654765404378,0
0.08513559527713557,1.3554204554153568,0
-0.5327192419736677,0.7564106489906237,0
-1.7198913742573658,-0.2802425914357424,0
-0.38453116111983926,-0.9116643599046023,0
-0.8889548395089388,-0.04293306778265206,0
-0.6103805791236255,-1.0143043582785194,0
-2.337945681059269,0.20029841316169444,0
-0.7506173198354277,-0.23671508151736692,0
-1.4324273679335973,-0.2310357129546129,0
-1.125323438940011,-0.05107376406517479,0
-0.7646215451849693,-0.9357567050159087,0
-0.26968170027485944,-0.01858047288217772,0
-0.9519836642357934,0.9097300912325176,0
-1.4345791479823728,-0.5948993799193942,0
-0.16583694141484792,0.2154485241678397,0
-2.4406977292877663,-0.5648533144426252,0
-1.206138785835113,0.37444428825925535,0
-0.29287554757398604,-0.3700974521172809,0
-1.0396636732616347,0.9886252348972747,0
-0.7764454857524138,0.12187918552948042,0
-0.2109498820109269,-0.22161791008676304,0
-0.635878915993604,0.6590830579886314,0
-1.1234633699338104,-0.3887862749918917,0
0.19046124728686817,1.4943603507110623,0
0.7246729367673139,-0.06849565230148176,1
-1.2472137496441462,0.8537417630652101,0
-0.6264903106557119,2.0388835621798918,0
-1.4177822315935755,-0.5154537413823959,0
0.4168535915053584,0.10617344701998338,1
-0.9681277037405007,0.47913698294228124,0
0.3652023383428636,1.4105181186458076,1
-1.441607561324108,0.29847348013637015,0
-1.9130408243229098,-0.11034804357739489,0
-1.3084581991270305,-0.4346490036339376,0
-1.4063875965506307,-1.243483835842832,0
-0.8694811826968721,1.8508412882627001,0
-0.5391486819910859,0.6825953126702126,0
-1.713175959417712,0.8780627375637086,0
0.24276937379765484,-0.964256758759218,1
-1.3414390495617736,0.7102433693964961,0
-0.3408412679402526,-1.2702035478758675,0
-1.399616488660781,0.562192623974453,0
0.507630491291543,0.7650925711444899,1
-0.5554279069490219,1.418956168693724,0
-0.7254487133925714,-0.670366073691947,0
7.46579985560407e-06,1.5814871260207115,0
-0.4086425620877218,-0.4124971116491952,0
-1.5640701790687952,2.153681054498526,0
-0.4840521521146932,1.5673841782737499,0
0.019836386135226806,1.709764582837908,0
-0.4755573771933778,0.992239896756593,0
-1.5048219645508647,1.7294323638604294,0
-1.6052014754389587,-0.5465296980763371,0
-0.7636935968961691,1.1938738981601569,0
-2.487323349449926,0.8409227281440573,0
-0.5320491299833404,-1.4545625639145263,0
-0.7347727448448295,-0.6251601710519964,0
-0.9502473777155085,-0.2891404044294478,0
0.3636203589650451,1.132122268454234,1
-1.2670318379941405,0.9721576483074894,0
-0.7688309137230503,0.3378113388343838,0
-0.07349369126865773,0.10475992620657124,0
-1.6723605740238217,0.05464854884533595,0
-0.7291561392358928,-1.1594515674647017,0
-0.8554447416012437,1.7100650924851846,0
-0.5814207518737474,-1.0041902683256339,0
-1.3423102535910627,0.6690645353601372,0
